19:36:55.314 [main] INFO  Util.LoggerUtil - Tests started
19:36:56.062 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/IntermediateTestsData/AjaxFormSubmitData.xlsx data
19:36:56.084 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:36:56.085 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:36:56.558 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:05.372 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:05.375 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:05.381 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test ajaxForm_Enter_Data_Should_Show_Message Started
19:37:05.510 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (2f46a85f754419d5d1f1b4c900022996)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2f46a85f754419d5d1f1b4c900022996)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2f46a85f754419d5d1f1b4c900022996)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2f46a85f754419d5d1f1b4c900022996)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2f46a85f754419d5d1f1b4c900022996)] -> css selector: #myTab a]] to be visible
19:37:05.604 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:37:06.166 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (2f46a85f754419d5d1f1b4c900022996)] -> css selector: .active.in .list-group] to be visible
19:37:09.347 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Ajax Form Submit exercise
19:37:11.460 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test ajaxForm_Enter_Data_Should_Show_Message Passed
19:37:11.460 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:37:11.715 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:37:11.717 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:37:11.717 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:37:11.760 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:17.077 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:17.078 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:17.079 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test ajaxForm_Enter_Data_Should_Show_Message Started
19:37:17.161 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (2ae5febfec08d12e68c88875a54b327c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2ae5febfec08d12e68c88875a54b327c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2ae5febfec08d12e68c88875a54b327c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2ae5febfec08d12e68c88875a54b327c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (2ae5febfec08d12e68c88875a54b327c)] -> css selector: #myTab a]] to be visible
19:37:17.254 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:37:17.818 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (2ae5febfec08d12e68c88875a54b327c)] -> css selector: .active.in .list-group] to be visible
19:37:19.209 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Ajax Form Submit exercise
19:37:20.799 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test ajaxForm_Enter_Data_Should_Show_Message Passed
19:37:20.799 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:37:21.107 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:37:21.114 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:37:21.119 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:37:21.186 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:26.036 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:26.038 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:26.038 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test ajaxForm_Enter_Data_Should_Show_Message Started
19:37:26.125 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (e5dfba614505ccaf617085cedc713a58)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (e5dfba614505ccaf617085cedc713a58)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (e5dfba614505ccaf617085cedc713a58)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (e5dfba614505ccaf617085cedc713a58)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (e5dfba614505ccaf617085cedc713a58)] -> css selector: #myTab a]] to be visible
19:37:26.210 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose inter_example level
19:37:26.825 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (e5dfba614505ccaf617085cedc713a58)] -> css selector: .active.in .list-group] to be visible
19:37:28.539 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Ajax Form Submit exercise
19:37:28.776 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test ajaxForm_Enter_Data_Should_Show_Message Passed
19:37:28.907 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:37:29.244 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:37:29.356 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/BasicTestsData/JavaScriptAlertsData.xlsx data
19:37:29.357 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:37:29.357 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:37:29.385 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:35.062 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:35.063 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:35.063 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test alertBox_Click_Should_ShowAlertMessage_And_Accept Started
19:37:35.145 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (f8f05aa2694cfa0f45610a2cd238ed66)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (f8f05aa2694cfa0f45610a2cd238ed66)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (f8f05aa2694cfa0f45610a2cd238ed66)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (f8f05aa2694cfa0f45610a2cd238ed66)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (f8f05aa2694cfa0f45610a2cd238ed66)] -> css selector: #myTab a]] to be visible
19:37:35.231 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose basic_example level
19:37:35.811 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (f8f05aa2694cfa0f45610a2cd238ed66)] -> css selector: .active.in .list-group] to be visible
19:37:36.248 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Javascript Alerts exercise
19:37:36.347 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test alertBox_Click_Should_ShowAlertMessage_And_Accept Passed
19:37:36.349 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnSuccess value
19:37:36.846 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:37:36.849 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:37:36.852 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:37:36.955 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:42.966 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:42.968 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:42.969 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test alertBox_Click_Should_ShowAlertMessage_And_Accept Started
19:37:43.051 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[[ChromeDriver: chrome on windows (fce79c34f5650313679d5a3a0197388c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fce79c34f5650313679d5a3a0197388c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fce79c34f5650313679d5a3a0197388c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fce79c34f5650313679d5a3a0197388c)] -> css selector: #myTab a], [[ChromeDriver: chrome on windows (fce79c34f5650313679d5a3a0197388c)] -> css selector: #myTab a]] to be visible
19:37:43.137 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose basic_example level
19:37:43.721 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Wait for [[ChromeDriver: chrome on windows (fce79c34f5650313679d5a3a0197388c)] -> css selector: .active.in .list-group] to be visible
19:37:44.131 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Chose Javascript Alerts exercise
19:37:44.192 [TestNG-test=Regression-1] ERROR Util.LoggerUtil - Test alertBox_Click_Should_ShowAlertMessage_And_Accept failed
19:37:44.192 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get screenshotOnFail value
19:37:44.552 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Capture alertBox_Click_Should_ShowAlertMessage_And_Accept screenshot
19:37:45.726 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Driver tear down
19:37:45.773 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Read src/test/java/TestData/BasicTestsData/BoostrapAlertsData.xlsx data
19:37:45.774 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get browser value
19:37:45.775 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get url value
19:37:45.800 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get headless value
19:37:52.008 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Initializing driver
19:37:52.009 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Get author value
19:37:52.009 [TestNG-test=Regression-1] INFO  Util.LoggerUtil - Test boostrapAlert_Click_AutoInfo_Should_Show_Message_And_Disappear Started
